tempc,precipmm,humidity,windspeedkmph,visibility,pressure,cloudcover,heatindexC,dewpointC,windchillC,windgustkmph,uvindex,time_new,datetime,icon,desc,temp,templow,baro,wind,wd,hum,year,month,day
26,0.1,73,20,5,1012,65,28,21,26,29,6,6,2018-01-03,6.0,Partly sunny.,30.0,26.0,1011.0,6.0,20.0,64.0,2018,1,3
26,0.0,73,22,4,1012,70,28,21,26,31,6,7,2018-01-03,6.0,Partly sunny.,30.0,26.0,1011.0,6.0,20.0,64.0,2018,1,3
26,0.1,72,24,3,1012,75,28,21,26,34,6,8,2018-01-03,6.0,Partly sunny.,30.0,26.0,1011.0,6.0,20.0,64.0,2018,1,3
26,0.2,72,25,2,1012,80,28,21,26,36,6,9,2018-01-03,6.0,Partly sunny.,30.0,26.0,1011.0,6.0,20.0,64.0,2018,1,3
27,0.1,70,28,5,1011,70,29,21,27,38,6,10,2018-01-03,6.0,Partly sunny.,30.0,26.0,1011.0,6.0,20.0,64.0,2018,1,3
27,0.0,68,30,7,1011,61,29,21,27,40,7,11,2018-01-03,6.0,Partly sunny.,30.0,26.0,1011.0,6.0,20.0,64.0,2018,1,3
27,0.0,67,32,10,1011,51,30,21,27,41,7,12,2018-01-03,7.0,Overcast.,29.0,28.0,1010.0,3.0,40.0,60.0,2018,1,3
27,0.0,68,30,10,1011,49,29,21,27,40,7,13,2018-01-03,7.0,Overcast.,29.0,28.0,1010.0,3.0,40.0,60.0,2018,1,3
27,0.0,69,28,10,1011,47,29,20,27,38,7,14,2018-01-03,7.0,Overcast.,29.0,28.0,1010.0,3.0,40.0,60.0,2018,1,3
26,0.0,70,25,10,1011,46,28,20,26,36,7,15,2018-01-03,7.0,Overcast.,29.0,28.0,1010.0,3.0,40.0,60.0,2018,1,3
26,0.0,71,22,10,1011,49,28,20,26,32,7,16,2018-01-03,7.0,Overcast.,29.0,28.0,1010.0,3.0,40.0,60.0,2018,1,3
26,0.1,72,19,10,1012,52,28,20,26,27,6,17,2018-01-03,7.0,Overcast.,29.0,28.0,1010.0,3.0,40.0,60.0,2018,1,3
26,0.1,74,16,10,1012,56,28,21,26,23,1,18,2018-01-03,14.0,Passing clouds.,26.0,25.0,1012.0,2.0,0.0,74.0,2018,1,3
26,0.1,75,16,8,1012,61,28,21,26,23,1,19,2018-01-03,14.0,Passing clouds.,26.0,25.0,1012.0,2.0,0.0,74.0,2018,1,3
26,0.1,76,16,7,1012,66,28,21,26,23,1,20,2018-01-03,14.0,Passing clouds.,26.0,25.0,1012.0,2.0,0.0,74.0,2018,1,3
26,0.1,77,15,5,1013,71,28,21,26,22,1,21,2018-01-03,14.0,Passing clouds.,26.0,25.0,1012.0,2.0,0.0,74.0,2018,1,3
26,0.1,77,17,5,1012,64,28,21,26,24,1,22,2018-01-03,14.0,Passing clouds.,26.0,25.0,1012.0,2.0,0.0,74.0,2018,1,3
26,0.1,77,18,5,1012,58,28,21,26,26,1,23,2018-01-03,14.0,Passing clouds.,26.0,25.0,1012.0,2.0,0.0,74.0,2018,1,3
26,0.2,77,19,5,1011,51,28,21,26,28,1,0,2018-01-04,14.0,Passing clouds.,24.0,23.0,1011.0,2.0,270.0,84.0,2018,1,4
26,0.1,78,19,4,1011,59,28,21,26,28,1,1,2018-01-04,14.0,Passing clouds.,24.0,23.0,1011.0,2.0,270.0,84.0,2018,1,4
26,0.1,78,19,3,1011,68,28,22,26,28,1,2,2018-01-04,14.0,Passing clouds.,24.0,23.0,1011.0,2.0,270.0,84.0,2018,1,4
26,0.1,79,19,2,1011,77,28,22,26,28,1,3,2018-01-04,14.0,Passing clouds.,24.0,23.0,1011.0,2.0,270.0,84.0,2018,1,4
26,0.0,78,13,2,1012,81,28,22,26,20,1,4,2018-01-04,14.0,Passing clouds.,24.0,23.0,1011.0,2.0,270.0,84.0,2018,1,4
26,0.1,78,8,2,1012,85,29,22,26,12,1,5,2018-01-04,14.0,Passing clouds.,24.0,23.0,1011.0,2.0,270.0,84.0,2018,1,4
26,0.2,78,3,2,1012,89,29,22,26,3,6,6,2018-01-04,7.0,Overcast.,31.0,25.0,1012.0,3.0,120.0,68.0,2018,1,4
27,0.1,76,9,4,1012,75,30,22,27,11,6,7,2018-01-04,7.0,Overcast.,31.0,25.0,1012.0,3.0,120.0,68.0,2018,1,4
28,0.1,73,15,7,1012,61,31,22,28,18,6,8,2018-01-04,7.0,Overcast.,31.0,25.0,1012.0,3.0,120.0,68.0,2018,1,4
28,0.1,71,21,9,1012,47,32,23,28,26,6,9,2018-01-04,7.0,Overcast.,31.0,25.0,1012.0,3.0,120.0,68.0,2018,1,4
28,0.1,71,22,9,1012,61,32,23,28,27,6,10,2018-01-04,7.0,Overcast.,31.0,25.0,1012.0,3.0,120.0,68.0,2018,1,4
28,0.2,71,23,10,1011,75,32,23,28,29,6,11,2018-01-04,7.0,Overcast.,31.0,25.0,1012.0,3.0,120.0,68.0,2018,1,4
28,0.3,71,24,10,1011,89,32,23,28,30,6,12,2018-01-04,7.0,Overcast.,31.0,30.0,1010.0,4.0,90.0,59.0,2018,1,4
28,0.1,73,23,8,1011,76,31,23,28,30,6,13,2018-01-04,7.0,Overcast.,31.0,30.0,1010.0,4.0,90.0,59.0,2018,1,4
27,0.1,75,22,7,1011,63,31,23,27,30,6,14,2018-01-04,7.0,Overcast.,31.0,30.0,1010.0,4.0,90.0,59.0,2018,1,4
27,0.1,77,21,5,1011,50,30,23,27,30,6,15,2018-01-04,7.0,Overcast.,31.0,30.0,1010.0,4.0,90.0,59.0,2018,1,4
27,0.0,78,18,6,1011,44,30,23,27,25,6,16,2018-01-04,7.0,Overcast.,31.0,30.0,1010.0,4.0,90.0,59.0,2018,1,4
27,0.2,79,15,8,1011,38,30,23,27,21,6,17,2018-01-04,7.0,Overcast.,31.0,30.0,1010.0,4.0,90.0,59.0,2018,1,4
27,0.2,80,12,9,1012,32,29,23,27,17,1,18,2018-01-04,14.0,Passing clouds.,27.0,25.0,1012.0,2.0,140.0,78.0,2018,1,4
26,0.1,80,12,9,1012,38,29,23,26,17,1,19,2018-01-04,14.0,Passing clouds.,27.0,25.0,1012.0,2.0,140.0,78.0,2018,1,4
26,0.0,81,12,10,1012,44,29,23,26,18,1,20,2018-01-04,14.0,Passing clouds.,27.0,25.0,1012.0,2.0,140.0,78.0,2018,1,4
